,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,pl_discmethod,pl_denserr2,st_tefferr1,st_tefferr2,st_masserr1,st_masslim,host_radius,st_raderr1,st_raderr2,rowupdate,pl_facility
107,CT Chamaleontis b,538,17 Jupiters,11.773,2007,Gas Giant,17 Jupiters,2.2 x Jupiter,440.0 AU,Infinity years,0,CT Cha,Imaging,,,,,,,,,14-05-2014,Paranal Observatory
108,DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018,Gas Giant,12.0293 Jupiters,1.1 x Jupiter,5.75 AU,11.2 years,0,DE CVn,Eclipse Timing Variations,,,,,0,,,,11-07-2019,Multiple Facilities
109,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013,Gas Giant,28.5 Jupiters,1.06 x Jupiter,0.36 AU,246.4 days,0.35,DENIS-P J082303.1-491201,Astrometry,,,,0.01,0,,,,14-05-2014,Paranal Observatory
110,DH Tauri b,457,11 Jupiters,12.496,2004,Gas Giant,11 Jupiters,2.7 x Jupiter,330.0 AU,10441.5 years,0,DH Tau,Imaging,,,,,0,0.27,0.07,-0.07,14-05-2014,Subaru Telescope
111,DMPP-1 b,202,24.27 Earths,7.981,2019,Neptune-like,24.27 Earths,0.472 x Jupiter,0.1462 AU,18.6 days,< 0.083,DMPP-1,Radial Velocity,,29,-29,0.03,0,1.26,0.02,-0.02,30-01-2020,La Silla Observatory
112,DMPP-1 c,202,9.6 Earths,7.981,2019,Neptune-like,9.6 Earths,0.273 x Jupiter,0.0733 AU,6.6 days,< 0.057,DMPP-1,Radial Velocity,,29,-29,0.03,0,1.26,0.02,-0.02,30-01-2020,La Silla Observatory
113,DMPP-1 d,202,3.35 Earths,7.981,2019,Super Earth,3.35 Earths,1.65 x Earth,0.0422 AU,2.9 days,< 0.07,DMPP-1,Radial Velocity,,29,-29,0.03,0,1.26,0.02,-0.02,30-01-2020,La Silla Observatory
114,DMPP-1 e,202,4.13 Earths,7.981,2019,Super Earth,4.13 Earths,1.86 x Earth,0.0651 AU,5.5 days,< 0.07,DMPP-1,Radial Velocity,,29,-29,0.03,0,1.26,0.02,-0.02,30-01-2020,La Silla Observatory
115,DMPP-2 b,437,0.437 Jupiters,8.567,2019,Gas Giant,0.437 Jupiters,1.28 x Jupiter,0.0664 AU,5.2 days,0.08,DMPP-2,Radial Velocity,,100,-100,0.03,0,1.78,0.09,-0.09,30-01-2020,Multiple Facilities
116,DMPP-3 A b,160,2.58 Earths,9.066,2019,Super Earth,2.58 Earths,1.41 x Earth,0.0662 AU,6.7 days,0.14,DMPP-3 A,Radial Velocity,,99,-99,0.05,0,0.91,0.02,-0.02,30-01-2020,La Silla Observatory
117,DP Leonis b,995,6.28 Jupiters,18.633,2009,Gas Giant,6.28 Jupiters,1.14 x Jupiter,8.19 AU,28 years,0.39,DP Leo,Eclipse Timing Variations,,500,-500,,,0.01,,,14-05-2014,Yunnan Astronomical Observatory
118,DS Tucanae A b,144,1.3 Jupiters,8.469,2019,Neptune-like,1.3 Jupiters,0.509 x Jupiter,Unknown,8.1 days,0,DS Tuc A,Transit,,80,-80,0.06,0,0.96,0.03,-0.03,11-07-2019,Transiting Exoplanet Survey Satellite (TESS)
119,EPIC 201238110 b,522,4.16 Earths,15.261,2019,Super Earth,4.16 Earths,1.87 x Earth,Unknown,28.2 days,0,EPIC 201238110,Transit,,,,0.11,0,,,,13-06-2019,K2
120,EPIC 201497682 b,831,0.26 Earths,14.102,2019,Terrestrial,0.26 Earths,0.692 x Earth,Unknown,2.1 days,0,EPIC 201497682,Transit,,,,0.09,0,,,,13-06-2019,K2
121,EPIC 201615463 c,1569,1.98 Earths,12.074,2019,Super Earth,1.98 Earths,1.22 x Earth,Unknown,3.8 days,0,K2-166,Transit,,,,0.03,0,,,,13-06-2019,K2
122,EPIC 201754305 d,1103,1.08 Earths,14.67,2019,Super Earth,1.08 Earths,1.03 x Earth,Unknown,2.7 days,0,K2-16,Transit,,,,0.03,0,,,,13-06-2019,K2
123,EPIC 201833600 c,846,0.972 Earths,14.717,2019,Terrestrial,0.972 Earths,1.0 x Earth,Unknown,4 days,0,K2-50,Transit,,,,0.06,0,,,,13-06-2019,K2
124,EPIC 201841433 b,1442,1.37 Earths,14.867,2019,Super Earth,1.37 Earths,1.1 x Earth,Unknown,4.2 days,0,EPIC 201841433,Transit,,,,0.08,0,,,,13-06-2019,K2
125,EPIC 205950854 c,801,2.27 Earths,12.291,2019,Super Earth,2.27 Earths,1.31 x Earth,Unknown,8.1 days,0,K2-168,Transit,,101,-50.5,0.06,0,0.83,0.09,-0.04,15-08-2019,K2
126,EPIC 206024342 b,1219,3.53 Earths,13.116,2019,Super Earth,3.53 Earths,1.7 x Earth,Unknown,4.5 days,0,EPIC 206024342,Transit,,,,0.08,0,,,,13-06-2019,K2
127,EPIC 206032309 b,529,1.01 Earths,16.069,2019,Super Earth,1.01 Earths,1.01 x Earth,Unknown,2.9 days,0,EPIC 206032309,Transit,,,,0.04,0,,,,13-06-2019,K2
128,EPIC 206042996 b,1492,3.26 Earths,16.743,2019,Super Earth,3.26 Earths,1.62 x Earth,Unknown,5.3 days,0,EPIC 206042996,Transit,,,,0.05,0,,,,13-06-2019,K2
129,EPIC 206215704 b,360,0.666 Earths,16.172,2019,Terrestrial,0.666 Earths,0.9 x Earth,Unknown,2.3 days,0,EPIC 206215704,Transit,,,,0.1,0,,,,13-06-2019,K2
130,EPIC 206317286 b,1035,0.84 Earths,14.051,2019,Terrestrial,0.84 Earths,0.96 x Earth,Unknown,1.6 days,0,EPIC 206317286,Transit,,,,0.09,0,,,,13-06-2019,K2
131,EPIC 211822797 b,611,4.58 Earths,15.256,2016,Super Earth,4.58 Earths,1.98 x Earth,0.131 AU,21.2 days,0.06,EPIC 211822797,Transit,,82.41,-80.21,0.07,0,0.57,0.03,-0.03,26-10-2017,K2
132,EPIC 211945201 b,596,27 Earths,10.154,2018,Neptune-like,27 Earths,0.514 x Jupiter,0.1493 AU,19.5 days,0,EPIC 211945201,Transit,,90,-90,0.04,0,1.39,0.02,-0.02,26-10-2018,K2
133,EPIC 212297394 b,1381,2.31 Earths,14.423,2019,Super Earth,2.31 Earths,1.323 x Earth,Unknown,2.3 days,0,EPIC 212297394,Transit,,,,0.09,0,,,,13-06-2019,K2
134,EPIC 212424622 b,2031,5.35 Earths,13.354,2019,Neptune-like,5.35 Earths,2.17 x Earth,Unknown,18.1 days,0,EPIC 212424622,Transit,,,,0.14,0,,,,13-06-2019,K2
135,EPIC 212499991 b,932,3.19 Earths,13.552,2019,Super Earth,3.19 Earths,1.6 x Earth,Unknown,34.9 days,0,EPIC 212499991,Transit,,,,0.04,0,,,,13-06-2019,K2
136,EPIC 212587672 b,1053,1.46 Earths,12.487,2019,Super Earth,1.46 Earths,1.12 x Earth,Unknown,15.3 days,0,EPIC 212587672,Transit,,,,0.04,0,,,,13-06-2019,K2
137,EPIC 212737443 b,1133,7.2 Earths,14.836,2019,Neptune-like,7.2 Earths,0.231 x Jupiter,0.098 AU,13.6 days,0.2,EPIC 212737443,Transit,,79,-79,0.04,0,0.67,0.02,-0.02,25-07-2019,K2
138,EPIC 212737443 c,1133,7.7 Earths,14.836,2019,Neptune-like,7.7 Earths,0.24 x Jupiter,0.28 AU,65.6 days,0.2,EPIC 212737443,Transit,,79,-79,0.04,0,0.67,0.02,-0.02,25-07-2019,K2
139,EPIC 220554210 c,1638,2.79 Earths,14.042,2019,Super Earth,2.79 Earths,1.48 x Earth,Unknown,0.7 days,0,K2-282,Transit,,,,0.04,0,,,,13-06-2019,K2
140,EPIC 220674823 b,803,7.72 Earths,12.102,2016,Super Earth,7.72 Earths,1.82 x Earth,0.0134 AU,0.6 days,0,EPIC 220674823,Transit,,86,-86,0.04,0,0.98,0.02,-0.02,26-10-2018,K2
141,EPIC 220674823 c,803,5.8 Earths,12.102,2016,Neptune-like,5.8 Earths,0.244 x Jupiter,0.1091 AU,13.3 days,0.18,EPIC 220674823,Transit,,86,-86,0.04,0,0.98,0.02,-0.02,26-10-2018,K2
142,EPIC 246851721 b,1098,3 Jupiters,11.439,2018,Gas Giant,3 Jupiters,1.051 x Jupiter,0.07229 AU,6.2 days,0,EPIC 246851721,Transit,-1.3,52,-50,0.04,0,1.59,0.03,-0.03,26-10-2018,K2
143,EPIC 248847494 b,1827,13 Jupiters,12.416,2018,Gas Giant,13 Jupiters,1.11 x Jupiter,4.5 AU,10 years,0,EPIC 248847494,Transit,,68,-68,0.09,0,2.7,0.12,-0.12,25-07-2019,K2
144,EPIC 249893012 b,1058,8.75 Earths,11.428,2020,Super Earth,8.75 Earths,1.95 x Earth,0.047 AU,3.6 days,0.06,EPIC 249893012,Transit,-1.04,85,-85,0.05,0,1.71,0.04,-0.04,13-02-2020,K2
145,EPIC 249893012 c,1058,14.67 Earths,11.428,2020,Neptune-like,14.67 Earths,0.327 x Jupiter,0.13 AU,15.6 days,0.07,EPIC 249893012,Transit,-0.29,85,-85,0.05,0,1.71,0.04,-0.04,13-02-2020,K2
146,EPIC 249893012 d,1058,10.18 Earths,11.428,2020,Neptune-like,10.18 Earths,0.352 x Jupiter,0.22 AU,35.7 days,0.15,EPIC 249893012,Transit,-0.23,85,-85,0.05,0,1.71,0.04,-0.04,13-02-2020,K2
147,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012,Gas Giant,6.7 Jupiters,1.13 x Jupiter,1.3 AU,417.9 days,0.11,eps CrB,Radial Velocity,,15,-15,0.1,0,21,,,10-09-2015,Bohyunsan Optical Astronomical Observatory
148,Epsilon Eridani b,11,0.78 Jupiters,3.82,2000,Gas Giant,0.78 Jupiters,1.24 x Jupiter,3.39 AU,7.4 years,0.07,eps Eri,Radial Velocity,,,,0.01,0,,,,03-09-2020,Multiple Observatories
149,Epsilon Indi A b,12,3.25 Jupiters,4.69,2019,Gas Giant,3.25 Jupiters,1.17 x Jupiter,11.55 AU,45.2 years,0.26,eps Ind A,Radial Velocity,,,,0.04,0,,,,24-10-2019,La Silla Observatory
150,Epsilon Tauri b,161,7.6 Jupiters,3.54,2006,Gas Giant,7.6 Jupiters,1.13 x Jupiter,1.93 AU,1.6 years,0.15,eps Tau,Radial Velocity,,20,,0.1,0,13.7,0.6,,31-01-2019,Okayama Astrophysical Observatory
151,FU Tauri b,457,16 Jupiters,20.48,2008,Gas Giant,16 Jupiters,1.09 x Jupiter,800.0 AU,101250.8 years,0,FU Tau,Imaging,,,,,0,,,,10-03-2016,Spitzer Space Telescope
152,G 9-40 b,91,4.76 Earths,13.823,2019,Super Earth,4.76 Earths,2.025 x Earth,0.0385 AU,5.7 days,0,G 9-40,Transit,,32,-32,0.02,0,0.31,0.01,-0.01,16-01-2020,K2
153,Gamma 1 Leonis b,126,8.78 Jupiters,1.98,2009,Gas Giant,8.78 Jupiters,1.12 x Jupiter,1.19 AU,428.5 days,0.14,gam 1 Leo,Radial Velocity,,15,,0.21,0,31.88,1.61,,31-01-2019,Bohyunsan Optical Astronomical Observatory
154,Gamma Cephei b,44,1.85 Jupiters,3.21,2003,Gas Giant,1.85 Jupiters,1.2 x Jupiter,2.05 AU,2.5 years,0.05,gam Cep,Radial Velocity,,,,0.12,0,4.9,,,27-08-2014,Multiple Observatories
155,Gamma Librae b,155,1.02 Jupiters,3.91,2018,Gas Giant,1.02 Jupiters,1.23 x Jupiter,1.24 AU,415.2 days,0.21,gam Lib,Radial Velocity,,15,-15,0.2,0,11.1,1.1,-0.3,26-04-2018,Okayama Astrophysical Observatory
156,Gamma Librae c,155,4.58 Jupiters,3.91,2018,Gas Giant,4.58 Jupiters,1.15 x Jupiter,2.17 AU,2.6 years,0.06,gam Lib,Radial Velocity,,15,-15,0.2,0,11.1,1.1,-0.3,26-04-2018,Okayama Astrophysical Observatory
157,GJ 1061 b,12,1.37 Earths,13.06,2020,Super Earth,1.37 Earths,1.1 x Earth,0.021 AU,3.2 days,< 0.31,GJ 1061,Radial Velocity,,98,-98,0.01,0,0.16,0.01,-0.01,27-02-2020,La Silla Observatory
158,GJ 1061 c,12,1.74 Earths,13.06,2020,Super Earth,1.74 Earths,1.18 x Earth,0.035 AU,6.7 days,< 0.29,GJ 1061,Radial Velocity,,98,-98,0.01,0,0.16,0.01,-0.01,27-02-2020,La Silla Observatory
159,GJ 1061 d,12,1.64 Earths,13.06,2020,Super Earth,1.64 Earths,1.16 x Earth,0.054 AU,13 days,< 0.53,GJ 1061,Radial Velocity,,98,-98,0.01,0,0.16,0.01,-0.01,27-02-2020,La Silla Observatory
160,GJ 1132 b,41,1.66 Earths,13.49,2015,Super Earth,1.66 Earths,1.13 x Earth,0.0153 AU,1.6 days,0.22,GJ 1132,Transit,-1.3,140,-140,0.02,0,0.21,0.01,-0.01,04-06-2020,Cerro Tololo Inter-American Observatory
161,GJ 1132 c,41,2.64 Earths,13.49,2018,Super Earth,2.64 Earths,1.43 x Earth,0.0476 AU,8.9 days,< 0.27,GJ 1132,Radial Velocity,,140,-140,0.02,0,0.21,0.01,-0.01,21-06-2018,La Silla Observatory
162,GJ 1148 b,36,0.30425 Jupiters,11.92,2010,Gas Giant,0.30425 Jupiters,1.07 x Jupiter,0.166 AU,41.4 days,0.38,GJ 1148,Radial Velocity,,,,,0,0.4,,,19-10-2017,W. M. Keck Observatory
163,GJ 1148 c,36,0.21414 Jupiters,11.92,2017,Gas Giant,0.21414 Jupiters,0.866 x Jupiter,0.912 AU,1.5 years,0.34,GJ 1148,Radial Velocity,,,,,0,0.4,,,19-10-2017,Calar Alto Observatory
164,GJ 1214 b,48,6.26125 Earths,15.1,2009,Neptune-like,6.26125 Earths,0.254 x Jupiter,0.01411 AU,1.6 days,0,GJ 1214,Transit,-0.33,150,-150,0.01,0,0.22,0.01,-0.01,03-12-2015,MEarth Project
165,GJ 1252 b,66,2.09 Earths,12.193,2020,Super Earth,2.09 Earths,1.193 x Earth,0.00916 AU,0.5 days,0,GJ 1252,Transit,,140,-133,0.02,0,0.39,0.02,-0.02,13-02-2020,Transiting Exoplanet Survey Satellite (TESS)
166,GJ 1265 b,33,7.4 Earths,13.57,2018,Neptune-like,7.4 Earths,0.234 x Jupiter,0.026 AU,3.7 days,0.04,GJ 1265,Radial Velocity,,51,-51,0.02,0,0.19,0.01,-0.01,06-12-2018,Calar Alto Observatory
167,GJ 143 b,53,22.7 Earths,7.87,2019,Neptune-like,22.7 Earths,0.233 x Jupiter,0.1915 AU,35.6 days,0.19,GJ 143,Transit,-1.3,100,-100,0.07,0,0.69,0.03,-0.03,25-04-2019,Transiting Exoplanet Survey Satellite (TESS)
168,GJ 15 A b,12,3.03 Earths,8.08,2014,Super Earth,3.03 Earths,1.55 x Earth,0.072 AU,11.4 days,0.09,GJ 15 A,Radial Velocity,,68,-68,0.05,0,0.38,0.05,-0.05,10-10-2019,W. M. Keck Observatory
169,GJ 15 A c,12,36 Earths,8.08,2018,Neptune-like,36 Earths,0.595 x Jupiter,5.4 AU,20.8 years,0.27,GJ 15 A,Radial Velocity,,68,-68,0.05,0,0.38,0.05,-0.05,10-10-2019,Roque de los Muchachos Observatory
170,GJ 160.2 b,84,10.2 Earths,9.68,2014,Neptune-like,10.2 Earths,0.283 x Jupiter,0.053 AU,5.2 days,0.06,GJ 160.2,Radial Velocity,,,,,0,,,,10-10-2019,Multiple Observatories
171,GJ 163 b,49,10.6 Earths,11.81,2013,Neptune-like,10.6 Earths,0.29 x Jupiter,0.0607 AU,8.6 days,0.07,GJ 163,Radial Velocity,,100,-100,0.02,0,,,,26-01-2017,La Silla Observatory
172,GJ 163 c,49,6.8 Earths,11.81,2013,Neptune-like,6.8 Earths,0.223 x Jupiter,0.1254 AU,25.6 days,0.1,GJ 163,Radial Velocity,,100,-100,0.02,0,,,,26-01-2017,La Silla Observatory
173,GJ 163 d,49,29.4 Earths,11.81,2013,Neptune-like,29.4 Earths,0.528 x Jupiter,1.0304 AU,1.7 years,0.37,GJ 163,Radial Velocity,,100,-100,0.02,0,,,,26-01-2017,La Silla Observatory
174,GJ 179 b,40,0.82 Jupiters,12,2009,Gas Giant,0.82 Jupiters,1.24 x Jupiter,2.41 AU,6.3 years,0.21,GJ 179,Radial Velocity,,100,-100,0.03,0,0.38,0.02,-0.02,14-05-2014,W. M. Keck Observatory
175,GJ 180 b,39,6.49 Earths,10.91,2014,Neptune-like,6.49 Earths,0.217 x Jupiter,0.092 AU,17.1 days,0.07,GJ 180,Radial Velocity,,,,,0,,,,13-02-2020,Multiple Observatories
176,GJ 180 c,39,6.4 Earths,10.91,2014,Neptune-like,6.4 Earths,0.215 x Jupiter,0.129 AU,24.3 days,0.09,GJ 180,Radial Velocity,,,,,0,,,,10-10-2019,Multiple Observatories
177,GJ 180 d,39,7.56 Earths,10.91,2020,Neptune-like,7.56 Earths,0.237 x Jupiter,0.309 AU,106.3 days,0.14,GJ 180,Radial Velocity,,,,,0,,,,13-02-2020,Multiple Facilities
178,GJ 2056 b,93,16.2 Earths,10.37,2020,Neptune-like,16.2 Earths,0.372 x Jupiter,0.283 AU,70 days,0.72,GJ 2056,Radial Velocity,,,,0.08,0,,,,03-09-2020,Multiple Observatories
179,GJ 229 A c,19,7.268 Earths,8.14,2020,Neptune-like,7.268 Earths,0.232 x Jupiter,0.339 AU,122 days,0.19,GJ 229,Radial Velocity,,,,,0,,,,13-02-2020,Multiple Facilities
180,GJ 229 b,19,8.478 Earths,8.14,2014,Neptune-like,8.478 Earths,0.254 x Jupiter,0.898 AU,1.4 years,0.1,GJ 229,Radial Velocity,,,,,0,,,,13-02-2020,Multiple Observatories
181,GJ 27.1 b,77,13 Earths,11.42,2014,Neptune-like,13 Earths,0.327 x Jupiter,0.101 AU,15.8 days,0.08,GJ 27.1,Radial Velocity,,,,,0,,,,10-10-2019,Multiple Observatories
182,GJ 273 b,12,2.89 Earths,9.872,2017,Super Earth,2.89 Earths,1.51 x Earth,0.091101 AU,18.6 days,0.1,GJ 273,Radial Velocity,,49,-49,,0,0.29,0.03,-0.03,30-03-2017,La Silla Observatory
183,GJ 273 c,12,1.18 Earths,9.872,2017,Super Earth,1.18 Earths,1.06 x Earth,0.036467 AU,4.7 days,0.17,GJ 273,Radial Velocity,,49,-49,,0,0.29,0.03,-0.03,30-03-2017,La Silla Observatory
184,GJ 3021 b,57,3.37 Jupiters,6.59,2000,Gas Giant,3.37 Jupiters,1.17 x Jupiter,0.49 AU,133.7 days,0.51,GJ 3021,Radial Velocity,,75,-75,,0,0.9,,,14-05-2014,La Silla Observatory
185,GJ 3082 b,54,8.2 Earths,11.077,2020,Neptune-like,8.2 Earths,0.249 x Jupiter,0.079 AU,11.9 days,0.22,GJ 3082,Radial Velocity,,,,,0,,,,13-02-2020,Multiple Facilities
186,GJ 3138 b,93,1.78 Earths,10.98,2017,Super Earth,1.78 Earths,1.18 x Earth,0.0197 AU,1.2 days,0.19,GJ 3138,Radial Velocity,,49,-49,,0,0.5,0.03,-0.03,30-03-2017,La Silla Observatory
187,GJ 3138 c,93,4.18 Earths,10.98,2017,Super Earth,4.18 Earths,1.88 x Earth,0.057 AU,6 days,0.11,GJ 3138,Radial Velocity,,49,-49,,0,0.5,0.03,-0.03,30-03-2017,La Silla Observatory
188,GJ 3138 d,93,10.5 Earths,10.98,2017,Neptune-like,10.5 Earths,0.288 x Jupiter,0.698 AU,257.8 days,0.32,GJ 3138,Radial Velocity,,49,-49,,0,0.5,0.03,-0.03,30-03-2017,La Silla Observatory
189,GJ 317 b,49,2.5 Jupiters,11.97,2007,Gas Giant,2.5 Jupiters,1.18 x Jupiter,1.151 AU,1.9 years,0.07,GJ 317,Radial Velocity,,,,0.02,0,,,,03-09-2020,W. M. Keck Observatory
190,GJ 317 c,49,1.64396 Jupiters,11.97,2018,Gas Giant,1.64396 Jupiters,1.2 x Jupiter,5.23 AU,18.5 years,0.17,GJ 317,Radial Velocity,,,,0.02,0,,,,03-09-2020,W. M. Keck Observatory
191,GJ 328 b,67,2.3 Jupiters,9.97,2013,Gas Giant,2.3 Jupiters,1.19 x Jupiter,4.5 AU,11.2 years,0.37,GJ 328,Radial Velocity,,100,-100,0.05,0,,,,14-05-2014,McDonald Observatory
192,GJ 3293 b,66,23.54 Earths,11.962,2015,Neptune-like,23.54 Earths,0.463 x Jupiter,0.14339 AU,30.6 days,0.06,GJ 3293,Radial Velocity,,49,-49,,0,0.4,0.03,-0.03,30-03-2017,La Silla Observatory
193,GJ 3293 c,66,21.09 Earths,11.962,2015,Neptune-like,21.09 Earths,0.434 x Jupiter,0.36175 AU,122.6 days,0.11,GJ 3293,Radial Velocity,,49,-49,,0,0.4,0.03,-0.03,30-03-2017,La Silla Observatory
194,GJ 3293 d,66,7.6 Earths,11.962,2017,Neptune-like,7.6 Earths,0.238 x Jupiter,0.19394 AU,48.1 days,0.12,GJ 3293,Radial Velocity,,49,-49,,0,0.4,0.03,-0.03,30-03-2017,La Silla Observatory
195,GJ 3293 e,66,3.28 Earths,11.962,2017,Super Earth,3.28 Earths,1.63 x Earth,0.08208 AU,13.3 days,0.21,GJ 3293,Radial Velocity,,49,-49,,0,0.4,0.03,-0.03,30-03-2017,La Silla Observatory
196,GJ 3323 b,17,2.02 Earths,12.22,2017,Super Earth,2.02 Earths,1.23 x Earth,0.03282 AU,5.4 days,0.23,GJ 3323,Radial Velocity,,49,-49,,0,0.12,0.03,-0.03,30-03-2017,La Silla Observatory
197,GJ 3323 c,17,2.31 Earths,12.22,2017,Super Earth,2.31 Earths,1.32 x Earth,0.1264 AU,40.5 days,0.17,GJ 3323,Radial Velocity,,49,-49,,0,0.12,0.03,-0.03,30-03-2017,La Silla Observatory
198,GJ 3341 b,76,6.6 Earths,12.08,2015,Neptune-like,6.6 Earths,0.219 x Jupiter,0.089 AU,14.2 days,0.31,GJ 3341,Radial Velocity,,49,-49,,0,0.44,0.03,-0.03,03-12-2014,La Silla Observatory
199,GJ 338 B b,21,10.27 Earths,7.7,2020,Neptune-like,10.27 Earths,0.284 x Jupiter,0.141 AU,24.5 days,0.11,GJ 338 B,Radial Velocity,,51,-51,0.07,0,0.58,0.03,-0.03,09-07-2020,Calar Alto Observatory
200,GJ 3470 b,96,13.9 Earths,12.33,2012,Neptune-like,13.9 Earths,0.408 x Jupiter,0.0355 AU,3.3 days,0.02,GJ 3470,Radial Velocity,-0.13,100,-100,0.05,0,0.55,0.02,-0.02,29-09-2016,La Silla Observatory
201,GJ 3512 b,31,0.463 Jupiters,15.05,2019,Gas Giant,0.463 Jupiters,1.27 x Jupiter,0.338 AU,203.6 days,0.44,GJ 3512,Radial Velocity,,51,-51,0.01,0,0.14,0.01,-0.01,10-10-2019,Calar Alto Observatory
202,GJ 357 b,31,1.84 Earths,10.92,2019,Super Earth,1.84 Earths,1.217 x Earth,0.035 AU,3.9 days,0,GJ 357,Transit,-1.3,51,-51,0.01,0,0.34,0.01,-0.01,15-08-2019,Transiting Exoplanet Survey Satellite (TESS)
203,GJ 357 c,31,3.4 Earths,10.92,2019,Super Earth,3.4 Earths,1.66 x Earth,0.061 AU,9.1 days,0,GJ 357,Radial Velocity,,51,-51,0.01,0,0.34,0.01,-0.01,01-08-2019,Multiple Observatories
204,GJ 357 d,31,6.1 Earths,10.92,2019,Neptune-like,6.1 Earths,0.209 x Jupiter,0.204 AU,55.7 days,0,GJ 357,Radial Velocity,,51,-51,0.01,0,0.34,0.01,-0.01,01-08-2019,Multiple Observatories
205,GJ 3634 b,65,8.4 Earths,11.93,2010,Neptune-like,8.4 Earths,0.253 x Jupiter,0.0287 AU,2.6 days,0.08,GJ 3634,Radial Velocity,,,,0.05,0,0.43,0.03,-0.03,21-08-2014,La Silla Observatory
206,GJ 3779 b,45,8 Earths,12.96,2018,Neptune-like,8 Earths,0.245 x Jupiter,0.026 AU,3 days,0.07,GJ 3779,Radial Velocity,,51,-51,0.02,0,0.28,0.01,-0.01,06-12-2018,Calar Alto Observatory
207,GJ 3942 b,55,7.14 Earths,10.25,2017,Neptune-like,7.14 Earths,0.229 x Jupiter,0.0608 AU,6.9 days,0.12,GJ 3942,Radial Velocity,,69,-69,0.07,0,0.61,0.06,-0.06,21-12-2017,Roque de los Muchachos Observatory
208,GJ 3998 b,59,2.47 Earths,10.83,2016,Super Earth,2.47 Earths,1.38 x Earth,0.029 AU,2.6 days,0,GJ 3998,Radial Velocity,,68,-68,0.05,0,0.49,0.05,-0.05,28-07-2016,Roque de los Muchachos Observatory
209,GJ 3998 c,59,6.26 Earths,10.83,2016,Neptune-like,6.26 Earths,0.212 x Jupiter,0.089 AU,13.7 days,0.05,GJ 3998,Radial Velocity,,68,-68,0.05,0,0.49,0.05,-0.05,28-07-2016,Roque de los Muchachos Observatory
210,GJ 411 b,8,2.99 Earths,7.49,2019,Super Earth,2.99 Earths,1.54 x Earth,0.0785 AU,13 days,0.22,GJ 411,Radial Velocity,,60,-60,0.04,0,0.39,0.01,-0.01,05-03-2019,Haute-Provence Observatory
211,GJ 422 b,41,11.07 Earths,11.55,2014,Neptune-like,11.07 Earths,0.297 x Jupiter,0.111 AU,20.1 days,0.11,GJ 422,Radial Velocity,,,,,0,,,,13-02-2020,Multiple Observatories
212,GJ 4276 b,70,16.57 Earths,11.66,2019,Neptune-like,16.57 Earths,0.377 x Jupiter,0.082 AU,13.4 days,0.37,GJ 4276,Radial Velocity,,51,-51,0.03,0,0.41,0.01,-0.01,24-01-2019,Calar Alto Observatory
213,GJ 433 b,30,6.043 Earths,9.806,2011,Neptune-like,6.043 Earths,0.208 x Jupiter,0.062 AU,7.4 days,0.04,GJ 433,Radial Velocity,,,,,0,,,,13-02-2020,La Silla Observatory
214,GJ 433 c,30,32.422 Earths,9.806,2014,Neptune-like,32.422 Earths,0.56 x Jupiter,4.819 AU,14 years,0.12,GJ 433,Radial Velocity,,,,,0,,,,13-02-2020,Multiple Observatories
215,GJ 433 d,30,5.223 Earths,9.806,2020,Neptune-like,5.223 Earths,2.14 x Earth,0.178 AU,36.1 days,0.07,GJ 433,Radial Velocity,,,,,0,,,,13-02-2020,Multiple Facilities
216,GJ 436 b,32,22.1 Earths,10.67,2004,Neptune-like,22.1 Earths,0.372 x Jupiter,0.0291 AU,2.6 days,0.14,GJ 436,Radial Velocity,-0.29,,,0.07,0,0.46,0.02,-0.02,05-02-2015,W. M. Keck Observatory
217,GJ 480 b,46,13.2 Earths,11.51,2020,Neptune-like,13.2 Earths,0.33 x Jupiter,0.068 AU,9.6 days,0.1,GJ 480,Radial Velocity,,,,0.02,0,,,,03-09-2020,Multiple Observatories
218,GJ 504 b,57,4 Jupiters,5.22,2013,Gas Giant,4 Jupiters,1.16 x Jupiter,43.5 AU,259.9 years,0,GJ 504,Imaging,,25,-25,0.08,0,,,,14-05-2014,Subaru Telescope
219,GJ 536 b,34,5.36 Earths,9.72,2016,Neptune-like,5.36 Earths,2.17 x Earth,0.06661 AU,8.7 days,0.08,GJ 536,Radial Velocity,,68,-68,0.05,0,0.5,0.05,-0.05,17-11-2016,La Silla Observatory
220,GJ 581 b,21,15.8 Earths,10.56,2005,Neptune-like,15.8 Earths,0.366 x Jupiter,0.04061 AU,5.4 days,0,GJ 581,Radial Velocity,,,,0.02,0,0.29,,,09-07-2014,La Silla Observatory
221,GJ 581 c,21,5.5 Earths,10.56,2007,Neptune-like,5.5 Earths,2.21 x Earth,0.0721 AU,12.9 days,0,GJ 581,Radial Velocity,,,,0.02,0,0.29,,,09-07-2014,La Silla Observatory
222,GJ 581 e,21,1.7 Earths,10.56,2009,Super Earth,1.7 Earths,1.17 x Earth,0.02815 AU,3.1 days,0,GJ 581,Radial Velocity,,,,0.02,0,0.29,,,09-07-2014,La Silla Observatory
