,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,pl_discmethod,pl_denserr2,st_tefferr1,st_tefferr2,st_masserr1,st_masslim,host_radius,st_raderr1,st_raderr2,rowupdate,pl_facility
4049,TOI-763 b,311,9.79 Earths,10.156,2020,Super Earth,9.79 Earths,0.203 x Jupiter,0.06 AU,5.6 days,0.04,TOI-763,Transit,-0.66,60,-60,0.03,0,0.9,0.01,-0.01,24-09-2020,Transiting Exoplanet Survey Satellite (TESS)
4050,TOI-763 c,311,9.32 Earths,10.156,2020,Neptune-like,9.32 Earths,0.235 x Jupiter,0.1011 AU,12.3 days,0.04,TOI-763,Transit,-0.47,60,-60,0.03,0,0.9,0.01,-0.01,24-09-2020,Transiting Exoplanet Survey Satellite (TESS)
4051,TOI-813 b,865,36.4 Earths,10.322,2020,Neptune-like,36.4 Earths,0.599 x Jupiter,0.423 AU,83.9 days,0,TOI-813,Transit,,150,-150,0.06,0,1.94,0.1,-0.1,30-01-2020,Transiting Exoplanet Survey Satellite (TESS)
4052,TOI-824 b,208,18.467 Earths,11.153,2020,Super Earth,18.467 Earths,0.261 x Jupiter,0.02177 AU,1.4 days,0,TOI-824,Transit,-0.78,110,-100,0.03,0,0.69,0.03,-0.03,24-09-2020,Transiting Exoplanet Survey Satellite (TESS)
4053,TOI-849 b,734,39.09 Earths,11.98,2020,Gas Giant,39.09 Earths,0.307 x Jupiter,0.01598 AU,0.8 days,0,TOI-849,Transit,-0.8,42.5,-41.2,0.02,0,0.92,0.03,-0.02,09-07-2020,Transiting Exoplanet Survey Satellite (TESS)
4054,TRAPPIST-1 b,41,0.85 Earths,18.8,2016,Super Earth,0.85 Earths,1.086 x Earth,0.01111 AU,1.5 days,< 0.081,TRAPPIST-1,Transit,-3.1,50,-50,0.01,0,0.12,0,0,22-02-2017,La Silla Observatory
4055,TRAPPIST-1 c,41,1.38 Earths,18.8,2016,Super Earth,1.38 Earths,1.056 x Earth,0.01521 AU,2.4 days,< 0.083,TRAPPIST-1,Transit,-2.92,50,-50,0.01,0,0.12,0,0,22-02-2017,La Silla Observatory
4056,TRAPPIST-1 d,41,0.41 Earths,18.8,2016,Terrestrial,0.41 Earths,0.772 x Earth,0.02144 AU,4 days,< 0.07,TRAPPIST-1,Transit,-3.3,50,-50,0.01,0,0.12,0,0,22-02-2017,La Silla Observatory
4057,TRAPPIST-1 e,41,0.62 Earths,18.8,2017,Terrestrial,0.62 Earths,0.918 x Earth,0.02817 AU,6.1 days,< 0.085,TRAPPIST-1,Transit,-4.2,50,-50,0.01,0,0.12,0,0,22-02-2017,Multiple Observatories
4058,TRAPPIST-1 f,41,0.68 Earths,18.8,2017,Super Earth,0.68 Earths,1.045 x Earth,0.0371 AU,9.2 days,< 0.063,TRAPPIST-1,Transit,-0.94,50,-50,0.01,0,0.12,0,0,22-02-2017,Multiple Observatories
4059,TRAPPIST-1 g,41,1.34 Earths,18.8,2017,Super Earth,1.34 Earths,1.127 x Earth,0.0451 AU,12.4 days,< 0.061,TRAPPIST-1,Transit,-3.5,50,-50,0.01,0,0.12,0,0,22-02-2017,Multiple Observatories
4060,TRAPPIST-1 h,41,0.331 Earths,18.8,2017,Terrestrial,0.331 Earths,0.752 x Earth,0.061935 AU,18.8 days,0.01,TRAPPIST-1,Transit,,50,-50,0.01,0,0.12,0,0,15-06-2017,Multiple Observatories
4061,TrES-1 b,523,0.84 Jupiters,11.76,2004,Gas Giant,0.84 Jupiters,1.13 x Jupiter,0.03925 AU,3 days,0,TrES-1,Transit,,50,-50,0.19,0,0.85,0.05,-0.05,26-04-2018,TrES
4062,TrES-2 b,707,1.49 Jupiters,11.411,2006,Gas Giant,1.49 Jupiters,1.36 x Jupiter,0.03563 AU,2.5 days,0,TrES-2,Transit,,50,-50,0.3,0,1.12,0.07,-0.07,26-04-2018,TrES
4063,TrES-3 b,744,1.91 Jupiters,12.402,2007,Gas Giant,1.91 Jupiters,1.336 x Jupiter,0.02282 AU,1.3 days,0,TrES-3,Transit,-0.078,75,,0.05,0,0.83,0.02,,14-05-2014,TrES
4064,TrES-4 b,1708,0.78 Jupiters,11.592,2007,Gas Giant,0.78 Jupiters,1.61 x Jupiter,0.05084 AU,3.6 days,0,TrES-4,Transit,,75,-75,0.38,0,1.66,0.19,-0.19,26-04-2018,TrES
4065,TrES-5 b,1188,1.79 Jupiters,13.718,2011,Gas Giant,1.79 Jupiters,1.194 x Jupiter,0.02459 AU,1.5 days,< 0.03,TrES-5,Transit,-0.052,36,-36,0.03,0,0.87,0.01,-0.01,16-04-2015,TrES
4066,TYC 1422-614-1 b,2476,2.5 Jupiters,10.21,2014,Gas Giant,2.5 Jupiters,1.18 x Jupiter,0.69 AU,198.4 days,0.06,TYC 1422-614-1,Radial Velocity,,45,-45,0.18,0,6.85,1.38,-1.38,29-10-2014,Multiple Observatories
4067,TYC 1422-614-1 c,2476,10 Jupiters,10.21,2014,Gas Giant,10 Jupiters,1.11 x Jupiter,1.37 AU,1.5 years,0.05,TYC 1422-614-1,Radial Velocity,,45,-45,0.18,0,6.85,1.38,-1.38,29-10-2014,Multiple Observatories
4068,TYC 3318-01333-1 b,1623,3.42 Jupiters,9.463,2018,Gas Giant,3.42 Jupiters,1.17 x Jupiter,1.414 AU,1.5 years,0.1,TYC 3318-01333-1,Radial Velocity,,10,-10,0.14,0,5.9,1,-1,25-01-2018,Multiple Observatories
4069,TYC 3667-1280-1 b,1569,5.4 Jupiters,9.86,2016,Gas Giant,5.4 Jupiters,1.14 x Jupiter,0.21 AU,26.5 days,0.04,TYC 3667-1280-1,Radial Velocity,,24,-24,0.17,0,6.26,0.86,-0.86,31-03-2016,McDonald Observatory
4070,TYC 4282-00605-1 b,2283,10.78 Jupiters,10.58,2017,Gas Giant,10.78 Jupiters,1.11 x Jupiter,0.422 AU,101.5 days,0.28,TYC 4282-00605-1,Radial Velocity,,50,-50,0.03,0,16.21,4.01,-4.01,29-06-2017,Roque de los Muchachos Observatory
4071,TYC 8998-760-1 b,309,14 Jupiters,11.13,2020,Gas Giant,14 Jupiters,1.1 x Jupiter,162.0 AU,2063.1 years,0,TYC 8998-760-1,Imaging,,,,,0,,,,02-04-2020,Paranal Observatory
4072,TYC 8998-760-1 c,309,6 Jupiters,11.13,2020,Gas Giant,6 Jupiters,1.1 x Jupiter,320.0 AU,5727.6 years,0,TYC 8998-760-1,Imaging,,,,,0,,,,23-07-2020,Paranal Observatory
4073,UKIRT-2017-BLG-001L b,20551,1.28 Jupiters,,2018,Gas Giant,1.28 Jupiters,1.22 x Jupiter,4.18 AU,9.5 years,0,UKIRT-2017-BLG-001L,Microlensing,,,,0.21,0,,,,26-03-2018,Mauna Kea Observatory
4074,Upsilon Andromedae b,44,0.6876 Jupiters,4.1,1996,Gas Giant,0.6876 Jupiters,1.25 x Jupiter,0.059222 AU,4.6 days,0.02,ups And,Radial Velocity,,,,,0,1.56,,,31-01-2019,Lick Observatory
4075,Upsilon Andromedae c,44,1.981 Jupiters,4.1,1999,Gas Giant,1.981 Jupiters,1.19 x Jupiter,0.827774 AU,241.3 days,0.26,ups And,Radial Velocity,,,,,0,1.56,,,31-01-2019,Multiple Observatories
4076,Upsilon Andromedae d,44,4.132 Jupiters,4.1,1999,Gas Giant,4.132 Jupiters,1.16 x Jupiter,2.51329 AU,3.5 years,0.3,ups And,Radial Velocity,,,,,0,1.56,,,31-01-2019,Multiple Observatories
4077,USco1556 b,460,15 Jupiters,15.361,2019,Gas Giant,15 Jupiters,1.09 x Jupiter,3500.0 AU,360656.2 years,0,USco CTIO 108,Imaging,,100,-100,0.02,0,,,,14-05-2015,Teide Observatory
4078,USco1621 b,450,16 Jupiters,14.177,2019,Gas Giant,16 Jupiters,1.09 x Jupiter,2880.0 AU,257742.3 years,0,USco1556 A,Imaging,,100,-100,0.07,0,,,,16-01-2020,Multiple Observatories
4079,USco CTIO 108 b,471,14 Jupiters,17.423,2008,Gas Giant,14 Jupiters,1.1 x Jupiter,670.0 AU,70841 years,0,USco1621 A,Imaging,,100,-100,0.08,0,,,,16-01-2020,Multiple Observatories
